claim_id,worker_id,zone_id,week_start_date,gps_deviation_score,device_id_reuse_count,claim_vs_event_gap_minutes,claims_per_worker_per_month,claimed_amount,earnings_loss_amount,disruption_impact_ratio,zone_disruption_risk_index,gps_anomaly_flag,syndicate_device_flag,timing_gap_anomaly_flag,is_fraud_label
CLM_80000,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-06,0.94,6,83,3,322.45,460.65,0.15,0.2267,0,1,0,0
CLM_80001,W_a4520496518a7d6c,ZONE_MAA_01,2026-09-14,0.78,6,15,3,266.9,381.28,0.15,0.2595,0,1,0,0
CLM_80002,W_902772cd82a60735,ZONE_DEL_01,2026-06-29,2.02,6,30,5,393.95,562.79,0.155,0.1633,0,1,0,0
CLM_80003,W_902772cd82a60735,ZONE_DEL_01,2026-07-06,1.39,6,90,2,2719.07,3884.39,0.837,0.5602,0,1,0,0
CLM_80004,W_902772cd82a60735,ZONE_DEL_01,2026-07-20,2.17,6,23,1,956.75,1366.78,0.278,0.2667,0,1,0,0
CLM_80005,W_902772cd82a60735,ZONE_DEL_01,2026-08-03,2.01,6,217,4,1975.7,2822.43,0.608,0.4771,0,1,0,0
CLM_80006,W_902772cd82a60735,ZONE_DEL_01,2026-08-17,0.86,6,14,1,616.72,881.03,0.15,0.2655,0,1,0,0
CLM_80007,W_d55c074973f02352,ZONE_MAA_01,2026-07-06,0.59,6,148,2,611.83,874.05,0.15,0.2267,0,1,0,0
CLM_80008,W_d55c074973f02352,ZONE_MAA_01,2026-09-14,0.29,6,13,2,590.87,844.1,0.15,0.2595,0,1,0,0
CLM_80009,W_fcefa50963905fbf,ZONE_BOM_01,2026-06-29,1.22,1,100,2,1742.88,2489.83,0.85,1.0,0,0,0,0
CLM_80010,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-06,0.27,1,63,2,1577.76,2253.95,0.783,0.8044,0,0,0,0
CLM_80011,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-13,0.46,1,48,4,979.65,1399.5,0.46,0.4088,0,0,0,0
CLM_80012,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-20,1.43,1,9,1,1721.82,2459.74,0.85,1.0,0,0,0,0
CLM_80013,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-27,0.26,1,55,3,1190.45,1700.64,0.573,0.3856,0,0,0,0
CLM_80014,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-03,1.15,1,21,3,1021.25,1458.93,0.482,0.277,0,0,0,0
CLM_80015,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-10,0.86,1,2469,1,786.39,1123.41,0.362,0.3243,0,0,1,1
CLM_80016,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-17,0.08,1,14,2,995.46,1422.08,0.499,0.3303,0,0,0,0
CLM_80017,W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-13,3.66,1,9,1,809.76,1156.8,0.15,0.26,0,0,0,0
CLM_80018,W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-27,0.64,1,26,2,1332.17,1903.1,0.269,0.2614,0,0,0,0
CLM_80019,W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-17,1.69,1,5,3,1164.86,1664.08,0.21,0.2359,0,0,0,0
CLM_80020,W_e6659cd15e081cc0,ZONE_HYD_01,2026-09-07,2.55,1,12,3,718.19,1025.99,0.15,0.2599,0,0,0,0
CLM_80021,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-13,1.62,1,13,1,415.92,594.17,0.15,0.26,0,0,0,0
CLM_80022,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-27,1.04,1,71,2,615.7,879.57,0.201,0.2614,0,0,0,0
CLM_80023,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-17,1.14,1,33,1,567.59,810.84,0.21,0.2359,0,0,0,0
CLM_80024,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-09-07,1.36,1,74,2,557.85,796.93,0.15,0.2599,0,0,0,0
CLM_80025,W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-06,0.82,1,100,3,567.66,810.94,0.15,0.2267,0,0,0,0
CLM_80026,W_21dfcbdd8d139506,ZONE_MAA_01,2026-09-14,2.63,1,15,3,721.91,1031.3,0.15,0.2595,0,0,0,0
CLM_80027,W_609c85a6fdc90054,ZONE_HYD_01,2026-07-13,0.52,1,149,2,616.85,881.21,0.15,0.26,0,0,0,0
CLM_80028,W_609c85a6fdc90054,ZONE_HYD_01,2026-07-27,0.37,1,5,4,798.12,1140.17,0.21,0.2614,0,0,0,0
CLM_80029,W_609c85a6fdc90054,ZONE_HYD_01,2026-08-17,1.64,1,35,2,936.28,1337.55,0.21,0.2359,0,0,0,0
CLM_80030,W_609c85a6fdc90054,ZONE_HYD_01,2026-09-07,1.72,1,8,2,689.98,985.68,0.15,0.2599,0,0,0,0
CLM_80031,W_792a0e4885181e53,ZONE_BLR_01,2026-06-29,0.12,1,17,2,653.54,933.63,0.15,0.244,0,0,0,0
CLM_80032,W_792a0e4885181e53,ZONE_BLR_01,2026-07-20,0.59,1,57,3,719.17,1027.38,0.15,0.2806,0,0,0,0
CLM_80033,W_792a0e4885181e53,ZONE_BLR_01,2026-08-03,0.91,1,219,3,1033.49,1476.42,0.272,0.2789,0,0,0,0
CLM_80034,W_792a0e4885181e53,ZONE_BLR_01,2026-08-17,2.52,1,6,3,632.68,903.83,0.15,0.2639,0,0,0,0
CLM_80035,W_3977fff286ddbad0,ZONE_HYD_01,2026-07-13,2.23,1,7,1,730.62,1043.74,0.15,0.26,0,0,0,0
CLM_80036,W_3977fff286ddbad0,ZONE_HYD_01,2026-07-27,0.26,1,91,1,586.2,837.43,0.161,0.2614,0,0,0,0
CLM_80037,W_3977fff286ddbad0,ZONE_HYD_01,2026-08-17,2.35,1,33,2,933.69,1333.84,0.21,0.2359,0,0,0,0
CLM_80038,W_3977fff286ddbad0,ZONE_HYD_01,2026-09-07,2.43,1,98,1,645.69,922.42,0.15,0.2599,0,0,0,0
CLM_80039,W_dd2424a5de7ce13b,ZONE_MAA_01,2026-07-06,2.14,1,27,2,241.89,345.56,0.15,0.2267,0,0,0,0
CLM_80040,W_dd2424a5de7ce13b,ZONE_MAA_01,2026-09-14,0.56,1,98,1,221.87,316.96,0.15,0.2595,0,0,0,0
CLM_80041,W_09f1c178b8d4ab95,ZONE_MAA_01,2026-07-06,1.91,1,11,3,343.39,490.56,0.15,0.2267,0,0,0,0
CLM_80042,W_09f1c178b8d4ab95,ZONE_MAA_01,2026-09-14,1.59,1,1489,2,210.05,300.07,0.15,0.2595,0,0,1,1
CLM_80043,W_45d2919c6d443325,ZONE_HYD_01,2026-07-13,0.51,1,28,2,254.54,363.63,0.15,0.26,0,0,0,0
CLM_80044,W_45d2919c6d443325,ZONE_HYD_01,2026-07-27,2.99,1,20,3,534.25,763.22,0.277,0.2614,0,0,0,0
CLM_80045,W_45d2919c6d443325,ZONE_HYD_01,2026-08-17,0.43,1,11,1,365.98,522.83,0.21,0.2359,0,0,0,0
CLM_80046,W_45d2919c6d443325,ZONE_HYD_01,2026-09-07,1.85,1,6,4,285.17,407.39,0.15,0.2599,0,0,0,0
CLM_80047,W_1b04112ad75f09b0,ZONE_DEL_01,2026-06-29,0.78,1,25,1,748.55,1069.36,0.155,0.1633,0,0,0,0
CLM_80048,W_1b04112ad75f09b0,ZONE_DEL_01,2026-07-06,1.45,1,17,2,2771.09,3958.7,0.712,0.5602,0,0,0,0
CLM_80049,W_1b04112ad75f09b0,ZONE_DEL_01,2026-07-20,18.91,1,35,2,833.74,1191.06,0.207,0.2667,1,0,0,1
CLM_80050,W_1b04112ad75f09b0,ZONE_DEL_01,2026-08-03,2.09,1,55,2,2622.62,3746.6,0.662,0.4771,0,0,0,0
CLM_80051,W_1b04112ad75f09b0,ZONE_DEL_01,2026-08-17,1.15,1,11,4,664.71,949.59,0.15,0.2655,0,0,0,0
CLM_80052,W_86c0380f83020987,ZONE_BOM_01,2026-06-29,0.45,1,35,2,4303.56,6147.94,0.85,1.0,0,0,0,0
CLM_80053,W_86c0380f83020987,ZONE_BOM_01,2026-07-06,1.23,1,56,2,3659.07,5227.24,0.729,0.8044,0,0,0,0
CLM_80054,W_86c0380f83020987,ZONE_BOM_01,2026-07-13,4.27,1,26,2,2208.32,3154.75,0.422,0.4088,0,0,0,0
