order_batch_id,worker_id,zone_id,week_start_date,orders_completed,orders_cancelled,baseline_expected_weekly_income,actual_weekly_earnings,earnings_loss_amount,total_distance_km,disruption_impact_ratio,city,zone_tier,persona_category,vehicle_type,vulnerability_score,tenure_days,work_pattern_type,avg_active_hours_per_week,avg_active_days_per_month,historical_weekly_income,rating,zone_tier_code,vehicle_risk_factor,is_full_time,weekly_total_rainfall_mm,weekly_max_rainfall_mm,weekly_max_temp_celsius,weekly_avg_temp_celsius,weekly_max_wind_kmph,weekly_avg_aqi,curfew_days_count,strike_days_count,zone_closure_days_count,has_festival,is_monsoon,zone_disruption_risk_index,monsoon_loading,target_dynamic_weekly_premium
ORD_50000,W_a4520496518a7d6c,ZONE_MAA_01,2026-06-22,31,1,2413.93,2350.93,63.0,132.0,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,33.7,24.5,37.6,36.225,17.3,159.25,0,0,0,1,1,0.1953,1.056,44.18
ORD_50001,W_a4520496518a7d6c,ZONE_MAA_01,2026-06-29,31,1,2413.93,2392.48,21.45,128.1,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,11.8,5.8,38.4,35.55714285714286,23.0,123.0,0,0,0,0,1,0.1188,1.02,39.94
ORD_50002,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-06,26,2,2413.93,1953.28,460.65,152.7,0.15,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,9.3,5.2,39.2,37.55714285714286,26.3,163.28571428571428,1,0,1,0,1,0.2267,1.016,43.62
ORD_50003,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-13,33,1,2413.93,2526.32,0.0,145.9,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,11.3,4.9,38.7,36.51428571428571,19.1,141.57142857142858,0,0,0,0,1,0.1316,1.019,40.36
ORD_50004,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-20,27,2,2413.93,2089.95,323.98,95.0,0.12,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,35.6,10.7,36.4,34.714285714285715,17.5,131.57142857142858,0,0,0,0,1,0.1788,1.059,43.69
ORD_50005,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-27,32,1,2413.93,2457.44,0.0,183.3,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,26.0,8.2,37.6,36.48571428571429,23.1,145.14285714285714,0,0,0,0,1,0.1674,1.043,42.62
ORD_50006,W_a4520496518a7d6c,ZONE_MAA_01,2026-08-03,31,1,2413.93,2328.62,85.31,121.9,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,38.5,6.7,34.8,33.94285714285714,19.7,150.71428571428572,0,0,0,0,1,0.1997,1.064,44.68
ORD_50007,W_a4520496518a7d6c,ZONE_MAA_01,2026-08-10,33,1,2413.93,2483.95,0.0,170.4,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,15.6,9.3,35.5,35.08571428571428,18.4,153.57142857142858,1,0,1,1,1,0.2336,1.026,44.3
ORD_50008,W_a4520496518a7d6c,ZONE_MAA_01,2026-08-17,30,1,2413.93,2304.06,109.87,155.4,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,29.4,12.9,36.3,35.75714285714285,20.7,143.71428571428572,0,0,0,0,1,0.1739,1.049,43.1
ORD_50009,W_a4520496518a7d6c,ZONE_MAA_01,2026-08-24,31,1,2413.93,2367.8,46.13,139.4,0.0,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61,1,1.0,0,15.1,7.6,36.6,34.77142857142857,18.4,144.14285714285714,1,0,1,1,1,0.2254,1.025,43.96
