worker_id,zone_id,week_start_date,zone_tier_code,tenure_days,vehicle_risk_factor,is_full_time,avg_active_hours_per_week,historical_weekly_income,weekly_total_rainfall_mm,weekly_max_temp_celsius,weekly_avg_aqi,zone_closure_days_count,is_monsoon,zone_disruption_risk_index,monsoon_loading,target_dynamic_weekly_premium
W_a4520496518a7d6c,ZONE_MAA_01,2026-06-22,1,57,1.0,0,24.2,2413.93,33.7,37.6,159.25,0,1,0.1953,1.056,44.18
W_a4520496518a7d6c,ZONE_MAA_01,2026-06-29,1,57,1.0,0,24.2,2413.93,11.8,38.4,123.0,0,1,0.1188,1.02,39.94
W_a4520496518a7d6c,ZONE_MAA_01,2026-07-06,1,57,1.0,0,24.2,2413.93,9.3,39.2,163.28571428571428,1,1,0.2267,1.016,43.62
W_a4520496518a7d6c,ZONE_MAA_01,2026-07-13,1,57,1.0,0,24.2,2413.93,11.3,38.7,141.57142857142858,0,1,0.1316,1.019,40.36
W_a4520496518a7d6c,ZONE_MAA_01,2026-07-20,1,57,1.0,0,24.2,2413.93,35.6,36.4,131.57142857142858,0,1,0.1788,1.059,43.69
W_a4520496518a7d6c,ZONE_MAA_01,2026-07-27,1,57,1.0,0,24.2,2413.93,26.0,37.6,145.14285714285714,0,1,0.1674,1.043,42.62
W_a4520496518a7d6c,ZONE_MAA_01,2026-08-03,1,57,1.0,0,24.2,2413.93,38.5,34.8,150.71428571428572,0,1,0.1997,1.064,44.68
W_a4520496518a7d6c,ZONE_MAA_01,2026-08-10,1,57,1.0,0,24.2,2413.93,15.6,35.5,153.57142857142858,1,1,0.2336,1.026,44.3
W_a4520496518a7d6c,ZONE_MAA_01,2026-08-17,1,57,1.0,0,24.2,2413.93,29.4,36.3,143.71428571428572,0,1,0.1739,1.049,43.1
W_a4520496518a7d6c,ZONE_MAA_01,2026-08-24,1,57,1.0,0,24.2,2413.93,15.1,36.6,144.14285714285714,1,1,0.2254,1.025,43.96
W_a4520496518a7d6c,ZONE_MAA_01,2026-08-31,1,57,1.0,0,24.2,2413.93,13.1,35.6,156.85714285714286,1,1,0.2305,1.022,44.01
W_a4520496518a7d6c,ZONE_MAA_01,2026-09-07,1,57,1.0,0,24.2,2413.93,23.3,35.6,136.57142857142858,0,1,0.1549,1.039,42.0
W_a4520496518a7d6c,ZONE_MAA_01,2026-09-14,1,57,1.0,0,24.2,2413.93,27.4,36.0,152.75,1,1,0.2595,1.046,46.11
W_902772cd82a60735,ZONE_DEL_01,2026-06-22,1,59,1.0,1,42.7,4668.72,4.0,41.9,188.25,0,1,0.1502,1.007,40.54
W_902772cd82a60735,ZONE_DEL_01,2026-06-29,1,59,1.0,1,42.7,4668.72,20.0,41.7,157.71428571428572,0,1,0.1633,1.033,42.06
W_902772cd82a60735,ZONE_DEL_01,2026-07-06,1,59,1.0,1,42.7,4668.72,122.9,36.7,156.0,2,1,0.5602,1.205,65.8
W_902772cd82a60735,ZONE_DEL_01,2026-07-13,1,59,1.0,1,42.7,4668.72,9.8,37.4,129.42857142857142,0,1,0.1191,1.016,39.8
W_902772cd82a60735,ZONE_DEL_01,2026-07-20,1,59,1.0,1,42.7,4668.72,74.3,33.7,132.71428571428572,0,1,0.2667,1.124,49.83
W_902772cd82a60735,ZONE_DEL_01,2026-07-27,1,59,1.0,1,42.7,4668.72,51.900000000000006,35.3,172.57142857142858,0,1,0.2462,1.086,47.37
W_902772cd82a60735,ZONE_DEL_01,2026-08-03,1,59,1.0,1,42.7,4668.72,132.8,33.8,126.57142857142856,1,1,0.4771,1.221,63.12
W_902772cd82a60735,ZONE_DEL_01,2026-08-10,1,59,1.0,1,42.7,4668.72,45.8,34.4,170.42857142857142,0,1,0.2309,1.076,46.36
W_902772cd82a60735,ZONE_DEL_01,2026-08-17,1,59,1.0,1,42.7,4668.72,34.3,33.6,140.0,1,1,0.2655,1.057,46.82
W_902772cd82a60735,ZONE_DEL_01,2026-08-24,1,59,1.0,1,42.7,4668.72,24.5,34.9,168.0,0,1,0.1811,1.041,43.03
W_902772cd82a60735,ZONE_DEL_01,2026-08-31,1,59,1.0,1,42.7,4668.72,76.6,34.4,145.57142857142858,0,1,0.2815,1.128,50.59
W_902772cd82a60735,ZONE_DEL_01,2026-09-07,1,59,1.0,1,42.7,4668.72,19.1,34.4,142.0,0,1,0.1495,1.032,41.52
W_902772cd82a60735,ZONE_DEL_01,2026-09-14,1,59,1.0,1,42.7,4668.72,7.6,35.0,149.0,0,1,0.1288,1.013,40.02
W_d55c074973f02352,ZONE_MAA_01,2026-06-22,1,132,1.0,1,57.1,5778.8,33.7,37.6,159.25,0,1,0.1953,1.056,44.18
W_d55c074973f02352,ZONE_MAA_01,2026-06-29,1,132,1.0,1,57.1,5778.8,11.8,38.4,123.0,0,1,0.1188,1.02,39.94
W_d55c074973f02352,ZONE_MAA_01,2026-07-06,1,132,1.0,1,57.1,5778.8,9.3,39.2,163.28571428571428,1,1,0.2267,1.016,43.62
W_d55c074973f02352,ZONE_MAA_01,2026-07-13,1,132,1.0,1,57.1,5778.8,11.3,38.7,141.57142857142858,0,1,0.1316,1.019,40.36
W_d55c074973f02352,ZONE_MAA_01,2026-07-20,1,132,1.0,1,57.1,5778.8,35.6,36.4,131.57142857142858,0,1,0.1788,1.059,43.69
W_d55c074973f02352,ZONE_MAA_01,2026-07-27,1,132,1.0,1,57.1,5778.8,26.0,37.6,145.14285714285714,0,1,0.1674,1.043,42.62
W_d55c074973f02352,ZONE_MAA_01,2026-08-03,1,132,1.0,1,57.1,5778.8,38.5,34.8,150.71428571428572,0,1,0.1997,1.064,44.68
W_d55c074973f02352,ZONE_MAA_01,2026-08-10,1,132,1.0,1,57.1,5778.8,15.6,35.5,153.57142857142858,1,1,0.2336,1.026,44.3
W_d55c074973f02352,ZONE_MAA_01,2026-08-17,1,132,1.0,1,57.1,5778.8,29.4,36.3,143.71428571428572,0,1,0.1739,1.049,43.1
W_d55c074973f02352,ZONE_MAA_01,2026-08-24,1,132,1.0,1,57.1,5778.8,15.1,36.6,144.14285714285714,1,1,0.2254,1.025,43.96
W_d55c074973f02352,ZONE_MAA_01,2026-08-31,1,132,1.0,1,57.1,5778.8,13.1,35.6,156.85714285714286,1,1,0.2305,1.022,44.01
W_d55c074973f02352,ZONE_MAA_01,2026-09-07,1,132,1.0,1,57.1,5778.8,23.3,35.6,136.57142857142858,0,1,0.1549,1.039,42.0
W_d55c074973f02352,ZONE_MAA_01,2026-09-14,1,132,1.0,1,57.1,5778.8,27.4,36.0,152.75,1,1,0.2595,1.046,46.11
W_fcefa50963905fbf,ZONE_BOM_01,2026-06-22,1,241,1.05,0,29.0,2908.64,24.8,31.1,184.0,0,1,0.1938,1.041,45.67
W_fcefa50963905fbf,ZONE_BOM_01,2026-06-29,1,241,1.05,0,29.0,2908.64,493.0,28.6,147.0,6,1,1.0,1.822,79.0
W_fcefa50963905fbf,ZONE_BOM_01,2026-07-06,1,241,1.05,0,29.0,2908.64,235.5,30.2,143.85714285714286,2,1,0.8044,1.392,79.0
W_fcefa50963905fbf,ZONE_BOM_01,2026-07-13,1,241,1.05,0,29.0,2908.64,92.5,30.6,156.42857142857142,1,1,0.4088,1.154,59.75
W_fcefa50963905fbf,ZONE_BOM_01,2026-07-20,1,241,1.05,0,29.0,2908.64,354.8,29.6,158.42857142857142,4,1,1.0,1.591,79.0
W_fcefa50963905fbf,ZONE_BOM_01,2026-07-27,1,241,1.05,0,29.0,2908.64,120.9,29.6,151.42857142857142,0,1,0.3856,1.202,61.21
W_fcefa50963905fbf,ZONE_BOM_01,2026-08-03,1,241,1.05,0,29.0,2908.64,76.8,29.7,139.0,0,1,0.277,1.128,52.94
W_fcefa50963905fbf,ZONE_BOM_01,2026-08-10,1,241,1.05,0,29.0,2908.64,96.6,29.7,142.57142857142858,0,1,0.3243,1.161,56.5
W_fcefa50963905fbf,ZONE_BOM_01,2026-08-17,1,241,1.05,0,29.0,2908.64,61.0,29.7,146.28571428571428,1,1,0.3303,1.102,53.88
W_fcefa50963905fbf,ZONE_BOM_01,2026-08-24,1,241,1.05,0,29.0,2908.64,36.4,29.6,134.0,1,1,0.2657,1.061,49.35
W_fcefa50963905fbf,ZONE_BOM_01,2026-08-31,1,241,1.05,0,29.0,2908.64,61.0,29.6,158.28571428571428,0,1,0.256,1.102,50.87
W_fcefa50963905fbf,ZONE_BOM_01,2026-09-07,1,241,1.05,0,29.0,2908.64,52.9,30.0,169.57142857142858,0,1,0.2462,1.088,49.83
W_fcefa50963905fbf,ZONE_BOM_01,2026-09-14,1,241,1.05,0,29.0,2908.64,23.3,30.0,162.0,0,1,0.1739,1.039,44.82
W_e6659cd15e081cc0,ZONE_HYD_01,2026-06-22,1,371,1.0,1,63.0,7046.39,21.8,32.6,156.25,1,1,0.2496,1.036,45.31
W_e6659cd15e081cc0,ZONE_HYD_01,2026-06-29,1,371,1.0,1,63.0,7046.39,35.9,29.8,132.14285714285714,0,1,0.1799,1.06,43.77
W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-06,1,371,1.0,1,63.0,7046.39,6.2,33.3,165.28571428571428,0,1,0.1379,1.01,40.22
W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-13,1,371,1.0,1,63.0,7046.39,26.8,33.9,155.14285714285714,1,1,0.26,1.045,46.08
W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-20,1,371,1.0,1,63.0,7046.39,38.8,30.0,132.85714285714286,0,1,0.1869,1.065,44.24
W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-27,1,371,1.0,1,63.0,7046.39,70.5,30.6,137.0,0,1,0.2614,1.118,49.36
W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-03,1,371,1.0,1,63.0,7046.39,20.5,30.6,136.28571428571428,0,1,0.1483,1.034,41.56
W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-10,1,371,1.0,1,63.0,7046.39,12.6,30.8,137.42857142857142,0,1,0.1314,1.021,40.43
W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-17,1,371,1.0,1,63.0,7046.39,18.2,31.5,148.85714285714286,1,1,0.2359,1.03,44.55
W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-24,1,371,1.0,1,63.0,7046.39,10.4,30.4,140.14285714285714,0,1,0.1285,1.017,40.17
W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-31,1,371,1.0,1,63.0,7046.39,8.8,32.0,159.14285714285714,0,1,0.1392,1.015,40.47
W_e6659cd15e081cc0,ZONE_HYD_01,2026-09-07,1,371,1.0,1,63.0,7046.39,26.3,32.2,156.57142857142858,1,1,0.2599,1.044,46.04
W_e6659cd15e081cc0,ZONE_HYD_01,2026-09-14,1,371,1.0,1,63.0,7046.39,12.7,33.4,147.5,0,1,0.1392,1.021,40.71
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-06-22,1,137,1.0,1,40.4,4494.13,21.8,32.6,156.25,1,1,0.2496,1.036,45.31
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-06-29,1,137,1.0,1,40.4,4494.13,35.9,29.8,132.14285714285714,0,1,0.1799,1.06,43.77
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-06,1,137,1.0,1,40.4,4494.13,6.2,33.3,165.28571428571428,0,1,0.1379,1.01,40.22
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-13,1,137,1.0,1,40.4,4494.13,26.8,33.9,155.14285714285714,1,1,0.26,1.045,46.08
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-20,1,137,1.0,1,40.4,4494.13,38.8,30.0,132.85714285714286,0,1,0.1869,1.065,44.24
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-27,1,137,1.0,1,40.4,4494.13,70.5,30.6,137.0,0,1,0.2614,1.118,49.36
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-03,1,137,1.0,1,40.4,4494.13,20.5,30.6,136.28571428571428,0,1,0.1483,1.034,41.56
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-10,1,137,1.0,1,40.4,4494.13,12.6,30.8,137.42857142857142,0,1,0.1314,1.021,40.43
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-17,1,137,1.0,1,40.4,4494.13,18.2,31.5,148.85714285714286,1,1,0.2359,1.03,44.55
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-24,1,137,1.0,1,40.4,4494.13,10.4,30.4,140.14285714285714,0,1,0.1285,1.017,40.17
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-31,1,137,1.0,1,40.4,4494.13,8.8,32.0,159.14285714285714,0,1,0.1392,1.015,40.47
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-09-07,1,137,1.0,1,40.4,4494.13,26.3,32.2,156.57142857142858,1,1,0.2599,1.044,46.04
W_3a0dc0499eeb1040,ZONE_HYD_01,2026-09-14,1,137,1.0,1,40.4,4494.13,12.7,33.4,147.5,0,1,0.1392,1.021,40.71
W_21dfcbdd8d139506,ZONE_MAA_01,2026-06-22,1,111,1.0,1,50.2,5547.2,33.7,37.6,159.25,0,1,0.1953,1.056,44.18
W_21dfcbdd8d139506,ZONE_MAA_01,2026-06-29,1,111,1.0,1,50.2,5547.2,11.8,38.4,123.0,0,1,0.1188,1.02,39.94
W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-06,1,111,1.0,1,50.2,5547.2,9.3,39.2,163.28571428571428,1,1,0.2267,1.016,43.62
W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-13,1,111,1.0,1,50.2,5547.2,11.3,38.7,141.57142857142858,0,1,0.1316,1.019,40.36
W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-20,1,111,1.0,1,50.2,5547.2,35.6,36.4,131.57142857142858,0,1,0.1788,1.059,43.69
W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-27,1,111,1.0,1,50.2,5547.2,26.0,37.6,145.14285714285714,0,1,0.1674,1.043,42.62
W_21dfcbdd8d139506,ZONE_MAA_01,2026-08-03,1,111,1.0,1,50.2,5547.2,38.5,34.8,150.71428571428572,0,1,0.1997,1.064,44.68
W_21dfcbdd8d139506,ZONE_MAA_01,2026-08-10,1,111,1.0,1,50.2,5547.2,15.6,35.5,153.57142857142858,1,1,0.2336,1.026,44.3
W_21dfcbdd8d139506,ZONE_MAA_01,2026-08-17,1,111,1.0,1,50.2,5547.2,29.4,36.3,143.71428571428572,0,1,0.1739,1.049,43.1
W_21dfcbdd8d139506,ZONE_MAA_01,2026-08-24,1,111,1.0,1,50.2,5547.2,15.1,36.6,144.14285714285714,1,1,0.2254,1.025,43.96
W_21dfcbdd8d139506,ZONE_MAA_01,2026-08-31,1,111,1.0,1,50.2,5547.2,13.1,35.6,156.85714285714286,1,1,0.2305,1.022,44.01
W_21dfcbdd8d139506,ZONE_MAA_01,2026-09-07,1,111,1.0,1,50.2,5547.2,23.3,35.6,136.57142857142858,0,1,0.1549,1.039,42.0
W_21dfcbdd8d139506,ZONE_MAA_01,2026-09-14,1,111,1.0,1,50.2,5547.2,27.4,36.0,152.75,1,1,0.2595,1.046,46.11
W_609c85a6fdc90054,ZONE_HYD_01,2026-06-22,1,62,1.05,1,52.2,5447.71,21.8,32.6,156.25,1,1,0.2496,1.036,47.58
W_609c85a6fdc90054,ZONE_HYD_01,2026-06-29,1,62,1.05,1,52.2,5447.71,35.9,29.8,132.14285714285714,0,1,0.1799,1.06,45.96
