claim_id,worker_id,zone_id,week_start_date,claim_timestamp,disruption_event_id,gps_deviation_score,device_id,device_id_reuse_count,syndicate_cluster_flag,weather_verification_discrepancy,claim_vs_event_gap_minutes,claims_per_worker_per_month,claimed_amount,approved_amount,is_fraud_label
CLM_80000,W_a4520496518a7d6c,ZONE_MAA_01,2026-07-06,2026-07-11 01:23:00,EVT_ZONE_MAA_01_20260706,0.94,DEV_ef02403e51ab,6,True,0.08,83,3,322.45,322.45,0
CLM_80001,W_a4520496518a7d6c,ZONE_MAA_01,2026-09-14,2026-09-15 00:15:00,EVT_ZONE_MAA_01_20260914,0.78,DEV_ef02403e51ab,6,True,0.05,15,3,266.9,266.9,0
CLM_80002,W_902772cd82a60735,ZONE_DEL_01,2026-06-29,2026-07-03 00:30:00,EVT_ZONE_DEL_01_20260629,2.02,DEV_46bec86a7db5,6,True,0.04,30,5,393.95,393.95,0
CLM_80003,W_902772cd82a60735,ZONE_DEL_01,2026-07-06,2026-07-08 01:30:00,EVT_ZONE_DEL_01_20260706,1.39,DEV_46bec86a7db5,6,True,0.07,90,2,2719.07,2719.07,0
CLM_80004,W_902772cd82a60735,ZONE_DEL_01,2026-07-20,2026-07-24 00:23:00,EVT_ZONE_DEL_01_20260720,2.17,DEV_46bec86a7db5,6,True,0.06,23,1,956.75,956.75,0
CLM_80005,W_902772cd82a60735,ZONE_DEL_01,2026-08-03,2026-08-07 03:37:00,EVT_ZONE_DEL_01_20260803,2.01,DEV_46bec86a7db5,6,True,0.0,217,4,1975.7,1975.7,0
CLM_80006,W_902772cd82a60735,ZONE_DEL_01,2026-08-17,2026-08-20 00:14:00,EVT_ZONE_DEL_01_20260817,0.86,DEV_46bec86a7db5,6,True,0.02,14,1,616.72,616.72,0
CLM_80007,W_d55c074973f02352,ZONE_MAA_01,2026-07-06,2026-07-08 02:28:00,EVT_ZONE_MAA_01_20260706,0.59,DEV_a6e06f60a3a0,6,True,0.03,148,2,611.83,611.83,0
CLM_80008,W_d55c074973f02352,ZONE_MAA_01,2026-09-14,2026-09-19 00:13:00,EVT_ZONE_MAA_01_20260914,0.29,DEV_a6e06f60a3a0,6,True,0.04,13,2,590.87,590.87,0
CLM_80009,W_fcefa50963905fbf,ZONE_BOM_01,2026-06-29,2026-07-02 01:40:00,EVT_ZONE_BOM_01_20260629,1.22,DEV_291c66e584be,1,False,0.02,100,2,1742.88,1742.88,0
CLM_80010,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-06,2026-07-07 01:03:00,EVT_ZONE_BOM_01_20260706,0.27,DEV_291c66e584be,1,False,0.05,63,2,1577.76,1577.76,0
CLM_80011,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-13,2026-07-18 00:48:00,EVT_ZONE_BOM_01_20260713,0.46,DEV_291c66e584be,1,False,0.05,48,4,979.65,979.65,0
CLM_80012,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-20,2026-07-21 00:09:00,EVT_ZONE_BOM_01_20260720,1.43,DEV_291c66e584be,1,False,0.05,9,1,1721.82,1721.82,0
CLM_80013,W_fcefa50963905fbf,ZONE_BOM_01,2026-07-27,2026-07-30 00:55:00,EVT_ZONE_BOM_01_20260727,0.26,DEV_291c66e584be,1,False,0.06,55,3,1190.45,1190.45,0
CLM_80014,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-03,2026-08-08 00:21:00,EVT_ZONE_BOM_01_20260803,1.15,DEV_291c66e584be,1,False,0.07,21,3,1021.25,1021.25,0
CLM_80015,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-10,2026-08-15 17:09:00,EVT_ZONE_BOM_01_20260810,0.86,DEV_291c66e584be,1,False,0.04,2469,1,786.39,0.0,1
CLM_80016,W_fcefa50963905fbf,ZONE_BOM_01,2026-08-17,2026-08-20 00:14:00,EVT_ZONE_BOM_01_20260817,0.08,DEV_291c66e584be,1,False,0.09,14,2,995.46,995.46,0
CLM_80017,W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-13,2026-07-15 00:09:00,EVT_ZONE_HYD_01_20260713,3.66,DEV_42dc95493942,1,False,0.07,9,1,809.76,809.76,0
CLM_80018,W_e6659cd15e081cc0,ZONE_HYD_01,2026-07-27,2026-08-01 00:26:00,EVT_ZONE_HYD_01_20260727,0.64,DEV_42dc95493942,1,False,0.03,26,2,1332.17,1332.17,0
CLM_80019,W_e6659cd15e081cc0,ZONE_HYD_01,2026-08-17,2026-08-18 00:05:00,EVT_ZONE_HYD_01_20260817,1.69,DEV_42dc95493942,1,False,0.08,5,3,1164.86,1164.86,0
CLM_80020,W_e6659cd15e081cc0,ZONE_HYD_01,2026-09-07,2026-09-09 00:12:00,EVT_ZONE_HYD_01_20260907,2.55,DEV_42dc95493942,1,False,0.03,12,3,718.19,718.19,0
CLM_80021,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-13,2026-07-14 00:13:00,EVT_ZONE_HYD_01_20260713,1.62,DEV_035241fbbb71,1,False,0.03,13,1,415.92,415.92,0
CLM_80022,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-07-27,2026-07-31 01:11:00,EVT_ZONE_HYD_01_20260727,1.04,DEV_035241fbbb71,1,False,0.04,71,2,615.7,615.7,0
CLM_80023,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-08-17,2026-08-21 00:33:00,EVT_ZONE_HYD_01_20260817,1.14,DEV_035241fbbb71,1,False,0.03,33,1,567.59,567.59,0
CLM_80024,W_3a0dc0499eeb1040,ZONE_HYD_01,2026-09-07,2026-09-10 01:14:00,EVT_ZONE_HYD_01_20260907,1.36,DEV_035241fbbb71,1,False,0.01,74,2,557.85,557.85,0
CLM_80025,W_21dfcbdd8d139506,ZONE_MAA_01,2026-07-06,2026-07-09 01:40:00,EVT_ZONE_MAA_01_20260706,0.82,DEV_df9d5617218f,1,False,0.08,100,3,567.66,567.66,0
CLM_80026,W_21dfcbdd8d139506,ZONE_MAA_01,2026-09-14,2026-09-19 00:15:00,EVT_ZONE_MAA_01_20260914,2.63,DEV_df9d5617218f,1,False,0.09,15,3,721.91,721.91,0
CLM_80027,W_609c85a6fdc90054,ZONE_HYD_01,2026-07-13,2026-07-16 02:29:00,EVT_ZONE_HYD_01_20260713,0.52,DEV_d0b840e119a7,1,False,0.09,149,2,616.85,616.85,0
CLM_80028,W_609c85a6fdc90054,ZONE_HYD_01,2026-07-27,2026-07-31 00:05:00,EVT_ZONE_HYD_01_20260727,0.37,DEV_d0b840e119a7,1,False,0.08,5,4,798.12,798.12,0
CLM_80029,W_609c85a6fdc90054,ZONE_HYD_01,2026-08-17,2026-08-21 00:35:00,EVT_ZONE_HYD_01_20260817,1.64,DEV_d0b840e119a7,1,False,0.07,35,2,936.28,936.28,0
CLM_80030,W_609c85a6fdc90054,ZONE_HYD_01,2026-09-07,2026-09-11 00:08:00,EVT_ZONE_HYD_01_20260907,1.72,DEV_d0b840e119a7,1,False,0.03,8,2,689.98,689.98,0
CLM_80031,W_792a0e4885181e53,ZONE_BLR_01,2026-06-29,2026-07-01 00:17:00,EVT_ZONE_BLR_01_20260629,0.12,DEV_41097ea7c302,1,False,0.06,17,2,653.54,653.54,0
CLM_80032,W_792a0e4885181e53,ZONE_BLR_01,2026-07-20,2026-07-23 00:57:00,EVT_ZONE_BLR_01_20260720,0.59,DEV_41097ea7c302,1,False,0.0,57,3,719.17,719.17,0
CLM_80033,W_792a0e4885181e53,ZONE_BLR_01,2026-08-03,2026-08-08 03:39:00,EVT_ZONE_BLR_01_20260803,0.91,DEV_41097ea7c302,1,False,0.04,219,3,1033.49,1033.49,0
CLM_80034,W_792a0e4885181e53,ZONE_BLR_01,2026-08-17,2026-08-18 00:06:00,EVT_ZONE_BLR_01_20260817,2.52,DEV_41097ea7c302,1,False,0.09,6,3,632.68,632.68,0
CLM_80035,W_3977fff286ddbad0,ZONE_HYD_01,2026-07-13,2026-07-16 00:07:00,EVT_ZONE_HYD_01_20260713,2.23,DEV_11b42f983195,1,False,0.09,7,1,730.62,730.62,0
CLM_80036,W_3977fff286ddbad0,ZONE_HYD_01,2026-07-27,2026-07-28 01:31:00,EVT_ZONE_HYD_01_20260727,0.26,DEV_11b42f983195,1,False,0.02,91,1,586.2,586.2,0
CLM_80037,W_3977fff286ddbad0,ZONE_HYD_01,2026-08-17,2026-08-20 00:33:00,EVT_ZONE_HYD_01_20260817,2.35,DEV_11b42f983195,1,False,0.03,33,2,933.69,933.69,0
CLM_80038,W_3977fff286ddbad0,ZONE_HYD_01,2026-09-07,2026-09-08 01:38:00,EVT_ZONE_HYD_01_20260907,2.43,DEV_11b42f983195,1,False,0.03,98,1,645.69,645.69,0
CLM_80039,W_dd2424a5de7ce13b,ZONE_MAA_01,2026-07-06,2026-07-11 00:27:00,EVT_ZONE_MAA_01_20260706,2.14,DEV_8b6a223495c9,1,False,0.03,27,2,241.89,241.89,0
CLM_80040,W_dd2424a5de7ce13b,ZONE_MAA_01,2026-09-14,2026-09-17 01:38:00,EVT_ZONE_MAA_01_20260914,0.56,DEV_8b6a223495c9,1,False,0.09,98,1,221.87,221.87,0
CLM_80041,W_09f1c178b8d4ab95,ZONE_MAA_01,2026-07-06,2026-07-07 00:11:00,EVT_ZONE_MAA_01_20260706,1.91,DEV_64d7fa9bc167,1,False,0.01,11,3,343.39,343.39,0
CLM_80042,W_09f1c178b8d4ab95,ZONE_MAA_01,2026-09-14,2026-09-20 00:49:00,EVT_ZONE_MAA_01_20260914,1.59,DEV_64d7fa9bc167,1,False,0.05,1489,2,210.05,0.0,1
CLM_80043,W_45d2919c6d443325,ZONE_HYD_01,2026-07-13,2026-07-16 00:28:00,EVT_ZONE_HYD_01_20260713,0.51,DEV_32b7eda0068b,1,False,0.05,28,2,254.54,254.54,0
CLM_80044,W_45d2919c6d443325,ZONE_HYD_01,2026-07-27,2026-07-31 00:20:00,EVT_ZONE_HYD_01_20260727,2.99,DEV_32b7eda0068b,1,False,0.01,20,3,534.25,534.25,0
CLM_80045,W_45d2919c6d443325,ZONE_HYD_01,2026-08-17,2026-08-18 00:11:00,EVT_ZONE_HYD_01_20260817,0.43,DEV_32b7eda0068b,1,False,0.08,11,1,365.98,365.98,0
CLM_80046,W_45d2919c6d443325,ZONE_HYD_01,2026-09-07,2026-09-10 00:06:00,EVT_ZONE_HYD_01_20260907,1.85,DEV_32b7eda0068b,1,False,0.02,6,4,285.17,285.17,0
CLM_80047,W_1b04112ad75f09b0,ZONE_DEL_01,2026-06-29,2026-06-30 00:25:00,EVT_ZONE_DEL_01_20260629,0.78,DEV_5284a2472ce7,1,False,0.06,25,1,748.55,748.55,0
CLM_80048,W_1b04112ad75f09b0,ZONE_DEL_01,2026-07-06,2026-07-08 00:17:00,EVT_ZONE_DEL_01_20260706,1.45,DEV_5284a2472ce7,1,False,0.03,17,2,2771.09,2771.09,0
CLM_80049,W_1b04112ad75f09b0,ZONE_DEL_01,2026-07-20,2026-07-21 00:35:00,EVT_ZONE_DEL_01_20260720,18.91,DEV_5284a2472ce7,1,False,0.04,35,2,833.74,0.0,1
CLM_80050,W_1b04112ad75f09b0,ZONE_DEL_01,2026-08-03,2026-08-04 00:55:00,EVT_ZONE_DEL_01_20260803,2.09,DEV_5284a2472ce7,1,False,0.09,55,2,2622.62,2622.62,0
CLM_80051,W_1b04112ad75f09b0,ZONE_DEL_01,2026-08-17,2026-08-22 00:11:00,EVT_ZONE_DEL_01_20260817,1.15,DEV_5284a2472ce7,1,False,0.04,11,4,664.71,664.71,0
CLM_80052,W_86c0380f83020987,ZONE_BOM_01,2026-06-29,2026-07-02 00:35:00,EVT_ZONE_BOM_01_20260629,0.45,DEV_5ee4507cfb7c,1,False,0.04,35,2,4303.56,4303.56,0
CLM_80053,W_86c0380f83020987,ZONE_BOM_01,2026-07-06,2026-07-07 00:56:00,EVT_ZONE_BOM_01_20260706,1.23,DEV_5ee4507cfb7c,1,False,0.0,56,2,3659.07,3659.07,0
CLM_80054,W_86c0380f83020987,ZONE_BOM_01,2026-07-13,2026-07-17 00:26:00,EVT_ZONE_BOM_01_20260713,4.27,DEV_5ee4507cfb7c,1,False,0.02,26,2,2208.32,2208.32,0
CLM_80055,W_86c0380f83020987,ZONE_BOM_01,2026-07-20,2026-07-21 00:33:00,EVT_ZONE_BOM_01_20260720,3.42,DEV_5ee4507cfb7c,1,False,0.09,33,3,4324.56,4324.56,0
CLM_80056,W_86c0380f83020987,ZONE_BOM_01,2026-07-27,2026-07-29 00:41:00,EVT_ZONE_BOM_01_20260727,0.73,DEV_5ee4507cfb7c,1,False,0.03,41,3,2538.21,2538.21,0
CLM_80057,W_86c0380f83020987,ZONE_BOM_01,2026-08-03,2026-08-05 00:37:00,EVT_ZONE_BOM_01_20260803,0.57,DEV_5ee4507cfb7c,1,False,0.06,37,2,2145.82,2145.82,0
CLM_80058,W_86c0380f83020987,ZONE_BOM_01,2026-08-10,2026-08-15 04:01:00,EVT_ZONE_BOM_01_20260810,0.8,DEV_5ee4507cfb7c,1,False,0.05,241,2,1289.28,1289.28,0
CLM_80059,W_86c0380f83020987,ZONE_BOM_01,2026-08-17,2026-08-18 00:11:00,EVT_ZONE_BOM_01_20260817,2.25,DEV_5ee4507cfb7c,1,False,0.05,11,4,2876.43,2876.43,0
CLM_80060,W_47079ae3154e5211,ZONE_MAA_01,2026-07-06,2026-07-09 01:46:00,EVT_ZONE_MAA_01_20260706,1.72,DEV_b4d6d4372d30,1,False,0.02,106,2,280.67,280.67,0
CLM_80061,W_47079ae3154e5211,ZONE_MAA_01,2026-09-14,2026-09-19 00:21:00,EVT_ZONE_MAA_01_20260914,0.93,DEV_b4d6d4372d30,1,False,0.05,21,1,280.03,280.03,0
CLM_80062,W_f7b997c785123d65,ZONE_HYD_01,2026-07-13,2026-07-17 00:23:00,EVT_ZONE_HYD_01_20260713,0.55,DEV_be71ad6e6d2e,1,False,0.07,23,3,500.79,500.79,0
CLM_80063,W_f7b997c785123d65,ZONE_HYD_01,2026-07-27,2026-08-01 00:29:00,EVT_ZONE_HYD_01_20260727,1.45,DEV_be71ad6e6d2e,1,False,0.07,29,1,925.6,925.6,0
CLM_80064,W_f7b997c785123d65,ZONE_HYD_01,2026-08-17,2026-08-19 00:25:00,EVT_ZONE_HYD_01_20260817,1.35,DEV_be71ad6e6d2e,1,False,0.03,25,3,702.16,702.16,0
CLM_80065,W_f7b997c785123d65,ZONE_HYD_01,2026-09-07,2026-09-08 00:17:00,EVT_ZONE_HYD_01_20260907,1.09,DEV_be71ad6e6d2e,1,False,0.06,17,1,437.79,437.79,0
CLM_80066,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-06-29,2026-07-04 01:12:00,EVT_ZONE_BLR_01_20260629,0.92,DEV_4424ad0859c8,1,False,0.04,72,2,321.89,321.89,0
CLM_80067,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-07-20,2026-07-23 00:06:00,EVT_ZONE_BLR_01_20260720,0.34,DEV_4424ad0859c8,1,False,0.05,6,2,314.8,314.8,0
CLM_80068,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-08-03,2026-08-04 00:28:00,EVT_ZONE_BLR_01_20260803,1.18,DEV_4424ad0859c8,1,False,0.04,28,5,281.04,281.04,0
CLM_80069,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-08-17,2026-08-18 01:14:00,EVT_ZONE_BLR_01_20260817,1.13,DEV_4424ad0859c8,1,False,0.08,74,3,269.99,269.99,0
