date,week_start_date,zone_id,city,zone_tier,rainfall_mm,peak_hour_rain_mm,temperature_celsius,wind_speed_kmph,weather_code,aqi_index,dominant_pollutant,curfew_flag,strike_flag,zone_closure_flag,platform_outage_hours,festival_flag,is_monsoon_period
2026-06-25,2026-06-22,ZONE_BLR_01,Bangalore,Metro,3.9,1.0,30.1,20.2,61,132,PM10,False,False,False,0.0,False,True
2026-06-26,2026-06-22,ZONE_BLR_01,Bangalore,Metro,3.9,1.9,29.1,16.9,55,82,O3,False,False,False,0.0,True,True
2026-06-27,2026-06-22,ZONE_BLR_01,Bangalore,Metro,5.3,3.0,29.8,15.1,63,165,PM10,False,False,False,0.0,False,True
2026-06-28,2026-06-22,ZONE_BLR_01,Bangalore,Metro,3.2,2.0,28.9,19.9,61,162,PM10,False,False,False,0.0,False,True
2026-06-29,2026-06-29,ZONE_BLR_01,Bangalore,Metro,8.4,5.5,28.1,20.0,61,122,PM10,True,False,True,0.0,False,True
2026-06-30,2026-06-29,ZONE_BLR_01,Bangalore,Metro,1.4,0.2,29.2,23.4,53,116,PM10,False,False,False,0.0,False,True
2026-07-01,2026-06-29,ZONE_BLR_01,Bangalore,Metro,1.1,0.4,25.8,23.5,51,211,PM2.5,False,False,False,0.0,False,True
2026-07-02,2026-06-29,ZONE_BLR_01,Bangalore,Metro,1.2,0.8,28.9,24.1,51,134,PM10,False,False,False,0.0,False,True
2026-07-03,2026-06-29,ZONE_BLR_01,Bangalore,Metro,2.9,1.3,27.7,25.9,53,90,O3,False,False,False,0.0,False,True
2026-07-04,2026-06-29,ZONE_BLR_01,Bangalore,Metro,3.9,0.5,27.6,27.9,53,200,PM10,False,False,False,0.0,False,True
2026-07-05,2026-06-29,ZONE_BLR_01,Bangalore,Metro,1.2,0.4,28.6,29.9,51,204,PM2.5,False,False,False,0.0,False,True
2026-07-06,2026-07-06,ZONE_BLR_01,Bangalore,Metro,1.1,0.5,29.1,29.7,51,153,PM10,False,False,False,0.0,False,True
2026-07-07,2026-07-06,ZONE_BLR_01,Bangalore,Metro,0.9,0.6,28.6,28.8,51,207,PM2.5,False,False,False,0.0,False,True
2026-07-08,2026-07-06,ZONE_BLR_01,Bangalore,Metro,2.3,0.9,28.6,25.5,61,210,PM2.5,False,False,False,0.0,False,True
2026-07-09,2026-07-06,ZONE_BLR_01,Bangalore,Metro,0.8,0.3,29.6,19.8,51,193,PM10,False,False,False,0.0,False,True
2026-07-10,2026-07-06,ZONE_BLR_01,Bangalore,Metro,3.3,0.2,29.9,17.2,53,80,O3,False,False,False,0.0,False,True
2026-07-11,2026-07-06,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,30.8,17.7,3,152,PM10,False,False,False,0.0,False,True
2026-07-12,2026-07-06,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,31.8,17.4,3,214,PM2.5,False,False,False,0.0,False,True
2026-07-13,2026-07-13,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,31.8,18.2,3,119,PM10,False,False,False,0.0,False,True
2026-07-14,2026-07-13,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,32.1,15.3,3,87,O3,False,False,False,0.0,False,True
2026-07-15,2026-07-13,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,31.3,16.0,3,100,O3,False,False,False,0.0,False,True
2026-07-16,2026-07-13,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,30.8,14.8,3,174,PM10,False,False,False,0.0,False,True
2026-07-17,2026-07-13,ZONE_BLR_01,Bangalore,Metro,9.8,4.9,27.5,20.5,63,131,PM10,False,False,False,0.0,False,True
2026-07-18,2026-07-13,ZONE_BLR_01,Bangalore,Metro,6.0,3.6,26.6,17.5,61,85,O3,False,False,False,0.0,False,True
2026-07-19,2026-07-13,ZONE_BLR_01,Bangalore,Metro,1.0,0.6,28.4,15.3,53,176,PM10,False,False,False,0.0,False,True
2026-07-20,2026-07-20,ZONE_BLR_01,Bangalore,Metro,8.3,4.8,28.5,19.5,63,116,PM10,False,False,False,0.0,False,True
2026-07-21,2026-07-20,ZONE_BLR_01,Bangalore,Metro,0.7,0.1,28.9,19.2,51,206,PM2.5,False,False,False,0.0,False,True
2026-07-22,2026-07-20,ZONE_BLR_01,Bangalore,Metro,8.9,3.6,26.6,18.8,63,169,PM10,True,False,True,0.0,False,True
2026-07-23,2026-07-20,ZONE_BLR_01,Bangalore,Metro,1.3,0.6,29.2,19.8,53,156,PM10,False,False,False,0.0,False,True
2026-07-24,2026-07-20,ZONE_BLR_01,Bangalore,Metro,8.2,3.5,29.5,21.1,63,170,PM10,False,False,False,0.0,False,True
2026-07-25,2026-07-20,ZONE_BLR_01,Bangalore,Metro,2.9,1.9,28.9,18.2,53,216,PM2.5,False,False,False,0.0,False,True
2026-07-26,2026-07-20,ZONE_BLR_01,Bangalore,Metro,3.1,0.6,27.3,19.6,61,107,PM10,False,False,False,0.0,False,True
2026-07-27,2026-07-27,ZONE_BLR_01,Bangalore,Metro,1.1,0.4,28.4,23.0,53,208,PM2.5,False,False,False,0.0,False,True
2026-07-28,2026-07-27,ZONE_BLR_01,Bangalore,Metro,1.9,0.8,29.7,22.7,53,199,PM10,False,False,False,0.0,False,True
2026-07-29,2026-07-27,ZONE_BLR_01,Bangalore,Metro,2.0,1.3,29.3,24.7,53,166,PM10,False,False,False,0.0,False,True
2026-07-30,2026-07-27,ZONE_BLR_01,Bangalore,Metro,3.1,1.6,28.3,25.0,53,193,PM10,False,False,False,0.0,False,True
2026-07-31,2026-07-27,ZONE_BLR_01,Bangalore,Metro,2.6,1.3,28.9,24.6,53,178,PM10,False,False,False,0.0,False,True
2026-08-01,2026-07-27,ZONE_BLR_01,Bangalore,Metro,17.0,2.4,27.3,19.4,63,145,PM10,False,False,False,0.0,False,True
2026-08-02,2026-07-27,ZONE_BLR_01,Bangalore,Metro,1.1,0.8,28.9,18.2,51,97,O3,False,False,False,0.0,False,True
2026-08-03,2026-08-03,ZONE_BLR_01,Bangalore,Metro,8.9,5.1,26.1,17.0,61,155,PM10,False,False,False,0.0,False,True
2026-08-04,2026-08-03,ZONE_BLR_01,Bangalore,Metro,18.5,3.3,28.0,16.6,63,141,PM10,False,False,False,0.0,False,True
2026-08-05,2026-08-03,ZONE_BLR_01,Bangalore,Metro,9.5,3.1,27.2,20.2,63,172,PM10,False,False,False,0.0,False,True
2026-08-06,2026-08-03,ZONE_BLR_01,Bangalore,Metro,16.5,3.7,27.3,21.1,63,82,O3,False,False,False,0.0,False,True
2026-08-07,2026-08-03,ZONE_BLR_01,Bangalore,Metro,16.8,8.9,27.5,18.9,65,135,PM10,False,False,False,0.0,False,True
2026-08-08,2026-08-03,ZONE_BLR_01,Bangalore,Metro,4.1,1.9,26.6,18.5,61,172,PM10,False,False,False,0.0,False,True
2026-08-09,2026-08-03,ZONE_BLR_01,Bangalore,Metro,2.0,1.2,28.3,16.4,53,144,PM10,False,False,False,0.0,False,True
2026-08-10,2026-08-10,ZONE_BLR_01,Bangalore,Metro,5.6,2.1,28.8,15.3,61,94,O3,False,False,False,0.0,False,True
2026-08-11,2026-08-10,ZONE_BLR_01,Bangalore,Metro,1.5,0.7,28.3,14.6,51,96,O3,False,False,False,0.0,False,True
2026-08-12,2026-08-10,ZONE_BLR_01,Bangalore,Metro,0.6,0.2,28.7,16.4,51,185,PM10,False,False,False,0.0,False,True
2026-08-13,2026-08-10,ZONE_BLR_01,Bangalore,Metro,5.6,2.2,28.9,18.0,63,185,PM10,False,False,False,0.0,False,True
2026-08-14,2026-08-10,ZONE_BLR_01,Bangalore,Metro,5.3,3.0,29.5,16.5,53,134,PM10,False,False,False,0.0,False,True
2026-08-15,2026-08-10,ZONE_BLR_01,Bangalore,Metro,1.1,0.9,29.3,20.0,51,121,PM10,False,False,False,0.0,True,True
2026-08-16,2026-08-10,ZONE_BLR_01,Bangalore,Metro,0.2,0.1,30.7,21.8,51,88,O3,False,False,False,0.0,False,True
2026-08-17,2026-08-17,ZONE_BLR_01,Bangalore,Metro,1.2,0.6,29.5,17.7,53,195,PM10,False,False,False,0.0,False,True
2026-08-18,2026-08-17,ZONE_BLR_01,Bangalore,Metro,2.8,0.6,29.9,16.2,61,91,O3,True,False,True,0.0,False,True
2026-08-19,2026-08-17,ZONE_BLR_01,Bangalore,Metro,6.8,3.9,28.3,17.6,61,87,O3,False,False,False,0.0,False,True
2026-08-20,2026-08-17,ZONE_BLR_01,Bangalore,Metro,5.2,1.9,27.7,17.1,55,111,PM10,False,False,False,0.0,False,True
2026-08-21,2026-08-17,ZONE_BLR_01,Bangalore,Metro,2.0,0.4,28.6,17.4,51,168,PM10,False,False,False,0.0,False,True
2026-08-22,2026-08-17,ZONE_BLR_01,Bangalore,Metro,3.6,1.2,27.4,22.2,53,213,PM2.5,False,False,False,0.0,False,True
2026-08-23,2026-08-17,ZONE_BLR_01,Bangalore,Metro,9.8,1.2,27.4,17.9,63,161,PM10,False,False,False,0.0,False,True
