worker_id,zone_id,city,zone_tier,persona_category,vehicle_type,vulnerability_score,tenure_days,work_pattern_type,avg_active_hours_per_week,avg_active_days_per_month,historical_weekly_income,rating
W_a4520496518a7d6c,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,57,Part-Time,24.2,13,2413.93,4.61
W_902772cd82a60735,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,59,Full-Time,42.7,25,4668.72,4.53
W_d55c074973f02352,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,132,Full-Time,57.1,29,5778.8,4.47
W_fcefa50963905fbf,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,241,Part-Time,29.0,16,2908.64,4.64
W_e6659cd15e081cc0,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,371,Full-Time,63.0,27,7046.39,4.75
W_3a0dc0499eeb1040,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,137,Full-Time,40.4,25,4494.13,4.3
W_21dfcbdd8d139506,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,111,Full-Time,50.2,26,5547.2,4.88
W_609c85a6fdc90054,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bike,1.2,62,Full-Time,52.2,25,5447.71,5.0
W_792a0e4885181e53,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,136,Full-Time,50.7,26,5464.52,4.86
W_3977fff286ddbad0,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,418,Full-Time,50.8,24,5822.74,4.85
W_dd2424a5de7ce13b,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,59,Part-Time,27.1,13,2772.62,4.56
W_09f1c178b8d4ab95,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,125,Part-Time,27.2,20,2750.94,4.82
W_45d2919c6d443325,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,128,Part-Time,22.4,13,2555.82,5.0
